asset_id,label,category,source_filename,source_location_note,source_kind,width,height,preview_path,sha256_original_prefix,privacy_class,status,metadata_note
mv-gp-001,Mobile website concept frame 001,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 11_36_15 AM (1).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-001-mobile-website-concept.webp,09440ea19f5d3e99,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-002,Mobile website concept frame 002,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 11_36_15 AM (10).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-002-mobile-website-concept.webp,4612dea1fb87e801,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-003,Mobile website concept frame 003,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 11_36_15 AM (2).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-003-mobile-website-concept.webp,d2a76e1f98d92f97,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-004,Mobile website concept frame 004,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 11_36_15 AM (3).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-004-mobile-website-concept.webp,b47e775283a91f58,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-005,Mobile website concept frame 005,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 11_36_15 AM (4).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-005-mobile-website-concept.webp,f61696e940e4f1f6,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-006,Mobile website concept frame 006,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 11_36_15 AM (5).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-006-mobile-website-concept.webp,9f374fa97ab4810f,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-007,Mobile website concept frame 007,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 11_36_15 AM (6).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-007-mobile-website-concept.webp,e6e96ae7679afb09,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-008,Mobile website concept frame 008,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 11_36_15 AM (7).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-008-mobile-website-concept.webp,4021a299cce3ca3e,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-009,Mobile website concept frame 009,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 11_36_15 AM (8).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-009-mobile-website-concept.webp,6aea064c67d7ad59,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-010,Mobile website concept frame 010,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 11_36_15 AM (9).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-010-mobile-website-concept.webp,4659a036f750ab2b,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
