file,kind,source,notes
public/images/studio-preview-next/next-audit-cockpit-map.webp,webp,generated and composited from approved local Maxwell Ventures source material,sha256:d06756b2d209ac36; no raw Google Photos links EXIF GPS or local source paths committed
public/images/studio-preview-next/next-contact-lighthouse.webp,webp,generated and composited from approved local Maxwell Ventures source material,sha256:cbdf8f8fda16ebb9; no raw Google Photos links EXIF GPS or local source paths committed
public/images/studio-preview-next/next-drafting-service-field.webp,webp,generated and composited from approved local Maxwell Ventures source material,sha256:e82d9ab305cc4e41; no raw Google Photos links EXIF GPS or local source paths committed
public/images/studio-preview-next/next-hero-coast-compass.webp,webp,generated and composited from approved local Maxwell Ventures source material,sha256:c4574016d8054915; no raw Google Photos links EXIF GPS or local source paths committed
public/images/studio-preview-next/next-hero-team-coast-desktop.webp,webp,generated and composited from user-provided Maxwell Ventures team reference plus local coastal visual system,sha256:62c4f94b4a069ddd; 2400x1350 desktop hero; no raw attachment paths EXIF GPS or local source paths committed
public/images/studio-preview-next/next-hero-team-coast-mobile.webp,webp,generated and composited from user-provided Maxwell Ventures team reference plus local coastal visual system,sha256:6358ec1598a443e2; 1080x1920 mobile hero; no raw attachment paths EXIF GPS or local source paths committed
public/images/studio-preview-next/next-mobile-audit-map.webp,webp,generated and composited from approved local Maxwell Ventures source material,sha256:3285efee7327ff26; no raw Google Photos links EXIF GPS or local source paths committed
public/images/studio-preview-next/next-mobile-hero-coast.webp,webp,generated and composited from approved local Maxwell Ventures source material,sha256:17975cbd49425890; no raw Google Photos links EXIF GPS or local source paths committed
public/images/studio-preview-next/next-mobile-system-card.webp,webp,generated and composited from approved local Maxwell Ventures source material,sha256:1827ffb756b64003; no raw Google Photos links EXIF GPS or local source paths committed
public/images/studio-preview-next/next-process-route-map.svg,svg,generated and composited from approved local Maxwell Ventures source material,sha256:82e26dff4493c3ae; no raw Google Photos links EXIF GPS or local source paths committed
public/images/studio-preview-next/next-process-route-map.webp,webp,generated and composited from approved local Maxwell Ventures source material,sha256:c00efa8a0c2e855e; no raw Google Photos links EXIF GPS or local source paths committed
public/images/studio-preview-next/next-team-atelier.webp,webp,generated and composited from approved local Maxwell Ventures source material,sha256:ec94d73183582967; no raw Google Photos links EXIF GPS or local source paths committed
